year,week,province,disease,cases
2018,51,12,asthma,34
2021,42,74,asthma,5
2018,42,11,copd,194
2018,35,13,copd,147
2018,17,12,ihd,41
2020,40,73,ihd,18
2022,27,12,asthma,49
2022,18,11,copd,191
2018,52,10,copd,744
2021,8,74,ihd,16
2021,52,73,asthma,53
2022,28,10,copd,325
2019,16,74,asthma,3
2022,11,13,copd,167
2018,48,73,asthma,4
2022,37,11,asthma,40
2019,7,73,copd,296
2018,32,74,copd,159
2020,43,74,ihd,6
2018,14,73,ihd,35
2020,1,12,asthma,4
2021,18,13,ihd,42
2019,26,73,asthma,87
2022,21,12,copd,162
2022,47,10,asthma,48
2022,3,11,ihd,72
2022,30,13,asthma,16
2021,35,10,ihd,35
2018,42,73,copd,134
2020,53,73,ihd,33
2021,46,13,copd,173
2021,28,12,ihd,80
2020,11,11,asthma,60
2022,13,10,ihd,140
2020,2,10,copd,627
2018,51,74,asthma,6
2022,27,74,asthma,10
2021,38,11,ihd,1
2018,17,74,ihd,9
2019,9,10,ihd,66
2019,36,12,asthma,26
2022,18,73,copd,185
2020,21,10,asthma,34
2019,27,11,copd,171
2020,4,13,asthma,38
2019,37,10,copd,604
2020,14,12,asthma,11
2022,37,73,asthma,16
2019,46,11,asthma,67
2019,2,12,ihd,80
2019,20,13,copd,182
2020,5,11,copd,204
2021,48,10,ihd,98
2019,39,13,asthma,44
2018,44,10,ihd,73
2022,21,74,copd,124
2019,30,12,copd,253
2022,3,73,ihd,29
2019,12,11,ihd,43
2018,27,13,ihd,16
2020,1,74,asthma,5
2018,37,12,ihd,1
2019,22,10,ihd,107
2020,11,73,asthma,48
2019,5,13,ihd,16
2021,28,74,ihd,10
2019,40,11,copd,53
2019,27,73,copd,208
2019,36,74,asthma,7
2022,48,10,copd,56
2022,13,12,ihd,13
2018,47,11,ihd,43
2022,31,13,copd,168
2021,6,10,asthma,25
2022,23,11,ihd,73
2022,50,13,asthma,14
2020,5,73,copd,219
2022,41,12,copd,142
2019,2,74,ihd,17
2020,14,74,asthma,5
2019,46,73,asthma,42
2022,33,10,ihd,175
2022,16,13,ihd,42
2020,31,11,asthma,4
2019,30,74,copd,134
2021,48,12,ihd,34
2020,5,13,copd,9
2022,51,11,copd,46
2019,12,73,ihd,172
2022,26,12,ihd,45
2020,15,12,copd,184
2020,24,13,asthma,28
2019,40,73,copd,43
2022,44,13,copd,34
2020,41,10,asthma,32
2020,25,11,copd,184
2021,51,13,ihd,49
2020,34,12,asthma,49
2019,40,13,copd,163
2018,47,73,ihd,161
2019,22,12,ihd,11
2018,5,11,asthma,14
2020,7,10,ihd,142
2022,13,74,ihd,2
2020,44,11,asthma,54
2019,50,12,copd,166
2018,15,10,asthma,3
2022,41,74,copd,70
2020,35,10,copd,721
2020,18,13,copd,106
2022,23,73,ihd,34
2019,32,11,ihd,54
2022,51,73,copd,34
2021,48,74,ihd,10
2018,8,12,asthma,4
2019,42,10,ihd,133
2019,25,13,ihd,48
2022,26,74,ihd,8
2018,9,10,copd,110
2019,35,12,ihd,53
2023,1,13,ihd,1
2020,15,74,copd,107
2018,18,11,asthma,18
2019,22,74,ihd,1
2020,25,73,copd,206
2018,5,73,asthma,15
2021,26,10,asthma,11
2021,9,13,asthma,20
2020,34,74,asthma,20
2019,32,73,ihd,101
2019,50,74,copd,103
2021,19,12,asthma,33
2020,44,73,asthma,38
2022,36,13,ihd,31
2021,10,11,copd,210
2022,4,10,asthma,42
2021,20,10,copd,378
2021,29,11,asthma,23
2018,8,74,asthma,2
2021,3,13,copd,205
2020,44,13,asthma,3
2022,46,12,ihd,58
2021,13,12,copd,137
2018,18,73,asthma,1
2020,10,13,ihd,37
2019,35,74,ihd,14
2021,39,10,asthma,3
2020,27,10,ihd,84
2020,45,11,copd,178
2021,22,13,asthma,3
2020,38,13,copd,197
2018,18,13,asthma,29
2018,9,12,copd,56
2020,20,12,ihd,60
2018,35,10,asthma,2
2019,3,11,asthma,65
2021,53,13,copd,10
2019,45,13,ihd,30
2018,1,10,ihd,41
2020,48,12,copd,59
2019,13,10,asthma,48
2018,28,12,asthma,16
2018,19,11,copd,210
2020,30,11,ihd,51
2021,19,74,asthma,5
2021,10,73,copd,143
2020,40,10,ihd,75
2018,29,10,copd,133
2022,46,74,ihd,13
2021,29,73,asthma,3
2018,12,13,copd,251
2022,5,10,copd,436
2022,14,11,asthma,33
2018,4,11,ihd,29
2020,45,73,copd,237
2018,22,12,copd,53
2021,13,74,copd,67
2018,48,10,asthma,52
2018,31,13,asthma,16
2021,39,12,asthma,3
2022,7,13,asthma,19
2019,3,73,asthma,98
2020,20,74,ihd,9
2021,30,11,copd,6
2018,9,74,copd,29
2022,24,10,asthma,39
2020,30,73,ihd,60
2021,23,13,copd,126
2018,19,73,copd,202
2020,48,74,copd,158
2021,40,10,copd,570
2018,28,74,asthma,102
2022,17,12,asthma,53
2021,5,12,ihd,92
2022,8,11,copd,221
2021,49,11,asthma,14
2021,33,12,copd,200
2021,15,11,ihd,52
2021,42,13,asthma,9
2019,14,10,copd,816
2022,14,73,asthma,34
2021,43,11,copd,201
2020,40,12,ihd,18
2019,23,11,asthma,40
2018,4,73,ihd,111
2018,22,74,copd,92
2021,25,10,ihd,153
2021,52,12,asthma,24
2021,8,13,ihd,37
2020,50,11,ihd,45
2018,48,12,asthma,2
2019,33,10,asthma,41
2021,30,73,copd,6
2019,7,12,copd,260
2019,16,13,asthma,31
2022,17,74,asthma,5
2021,5,74,ihd,8
2019,26,12,asthma,31
2018,32,13,copd,157
2022,8,73,copd,181
2020,43,13,ihd,36
2021,49,73,asthma,23
2018,49,10,copd,544
2019,17,11,copd,283
2018,14,12,ihd,43
2020,53,12,ihd,17
2018,42,12,copd,286
2018,24,11,ihd,47
2018,51,13,asthma,31
2021,15,73,ihd,14
2021,33,74,copd,106
2022,44,10,asthma,38
2022,27,13,asthma,31
2022,18,12,copd,159
2018,52,11,copd,266
2018,34,10,ihd,16
2019,23,73,asthma,61
2018,17,13,ihd,24
2021,43,73,copd,198
2020,40,74,ihd,3
2021,52,74,asthma,7
2022,10,10,ihd,188
2022,28,11,copd,111
2020,50,73,ihd,33
2018,48,74,asthma,1
2019,7,74,copd,129
2022,37,12,asthma,28
2019,17,73,copd,314
2020,18,10,asthma,7
2022,47,11,asthma,59
2020,1,13,asthma,28
2022,3,12,ihd,58
2018,14,74,ihd,5
2022,21,13,copd,205
2022,38,10,copd,593
2019,26,74,asthma,14
2018,24,73,ihd,232
2020,11,12,asthma,50
2021,45,10,ihd,176
2020,53,74,ihd,5
2018,42,74,copd,121
2022,13,11,ihd,47
2020,2,11,copd,268
2021,28,13,ihd,33
2020,12,10,copd,599
2019,36,13,asthma,45
2019,9,11,ihd,21
2019,27,12,copd,196
2022,18,74,copd,77
2020,21,11,asthma,58
2018,52,73,copd,268
2021,38,12,ihd,1
2020,31,10,asthma,25
2020,14,13,asthma,15
2019,19,10,ihd,107
2020,5,12,copd,159
2022,37,74,asthma,17
2019,46,12,asthma,15
2022,28,73,copd,86
2019,2,13,ihd,42
2019,37,11,copd,225
2021,48,11,ihd,24
2022,47,73,asthma,13
2022,3,74,ihd,9
2019,30,13,copd,226
2018,44,11,ihd,35
2019,47,10,copd,596
2019,12,12,ihd,63
2022,13,73,ihd,44
2020,11,74,asthma,12
2020,2,73,copd,250
2019,40,12,copd,54
2018,37,13,ihd,9
2019,22,11,ihd,38
2018,5,10,asthma,4
2021,38,74,ihd,8
2022,13,13,ihd,5
2019,27,74,copd,117
2019,9,73,ihd,11
2022,48,11,copd,34
2018,47,12,ihd,49
2020,21,73,asthma,39
2020,5,74,copd,137
2019,37,73,copd,166
2022,23,12,ihd,69
2019,46,74,asthma,8
2021,48,73,ihd,19
2021,6,11,asthma,40
2022,41,13,copd,110
2021,16,10,asthma,36
2022,33,11,ihd,85
2019,12,74,ihd,7
2020,31,12,asthma,3
2022,51,12,copd,102
2018,44,73,ihd,30
2021,48,13,ihd,25
2019,40,74,copd,28
2019,22,73,ihd,126
2020,15,13,copd,137
2022,43,10,ihd,162
2020,41,11,asthma,52
2020,32,10,copd,721
2022,26,13,ihd,37
2020,34,13,asthma,21
2020,51,10,asthma,36
2020,7,11,ihd,45
2022,48,73,copd,11
2018,47,74,ihd,10
2019,22,13,ihd,1
2020,25,12,copd,222
2018,5,12,asthma,4
2021,6,73,asthma,34
2018,15,11,asthma,55
2019,32,12,ihd,72
2018,6,10,copd,149
2020,44,12,asthma,6
2022,23,74,ihd,20
2020,17,10,ihd,131
2019,50,13,copd,156
2020,35,11,copd,239
2020,31,74,asthma,2
2019,42,11,ihd,52
2018,8,13,asthma,44
2022,51,74,copd,122
2018,25,10,asthma,11
2022,33,73,ihd,36
2022,1,10,asthma,43
2019,52,10,ihd,154
2020,41,73,asthma,38
2019,35,13,ihd,23
2018,9,11,copd,110
2018,18,12,asthma,2
2021,17,10,copd,26
2018,5,74,asthma,2
2020,25,74,copd,118
2021,26,11,asthma,9
2020,7,73,ihd,42
2018,15,73,asthma,9
2021,19,13,asthma,10
2021,36,10,asthma,9
2020,35,73,copd,232
2020,44,74,asthma,13
2019,32,74,ihd,10
2022,4,11,asthma,29
2021,10,12,copd,160
2021,2,10,ihd,114
2021,20,11,copd,185
2022,46,13,ihd,25
2021,29,12,asthma,57
2019,42,73,ihd,47
2020,27,11,ihd,39
2021,30,10,copd,164
2021,13,13,copd,110
2018,18,74,asthma,1
2020,45,12,copd,61
2018,9,73,copd,163
2019,10,10,asthma,58
2018,9,13,copd,72
2019,3,12,asthma,25
2020,20,13,ihd,26
2020,37,10,ihd,171
2021,26,73,asthma,1
2018,26,10,copd,4
2022,4,73,asthma,33
2018,19,12,copd,194
2019,4,10,copd,877
2019,13,11,asthma,64
2018,28,13,asthma,39
2018,45,10,asthma,52
2018,1,11,ihd,36
2020,30,12,ihd,80
2021,10,74,copd,131
2020,48,13,copd,219
2021,29,74,asthma,7
2018,11,10,ihd,42
2021,20,73,copd,167
2018,29,11,copd,201
2020,40,11,ihd,22
2020,27,73,ihd,24
2022,14,12,asthma,37
2018,48,11,asthma,70
2020,45,74,copd,141
2018,22,13,copd,75
2022,5,11,copd,142
2018,4,12,ihd,35
2021,39,13,asthma,4
2021,30,12,copd,7
2019,3,74,asthma,10
2022,15,10,copd,283
2022,24,11,asthma,31
2022,34,10,asthma,31
2020,30,74,ihd,13
2021,40,11,copd,183
2019,13,73,asthma,69
2022,8,12,copd,138
2021,22,10,ihd,105
2018,1,73,ihd,90
2022,17,13,asthma,18
2021,49,12,asthma,26
2021,5,13,ihd,49
2018,19,74,copd,136
2021,33,13,copd,147
2021,15,12,ihd,38
2020,40,73,ihd,24
2021,50,10,copd,623
2018,29,73,copd,253
2021,43,12,copd,180
2022,5,73,copd,147
2022,14,74,asthma,3
2018,4,74,ihd,20
2018,48,73,asthma,95
2020,40,13,ihd,22
2019,23,12,asthma,15
2020,8,10,asthma,45
2021,52,13,asthma,8
2019,14,11,copd,251
2021,25,11,ihd,47
2018,48,13,asthma,7
2020,50,12,ihd,23
2022,24,73,asthma,42
2021,30,74,copd,1
2019,33,11,asthma,31
2021,35,10,ihd,30
2019,7,13,copd,213
2019,24,10,copd,710
2018,31,10,ihd,13
2019,26,13,asthma,46
2021,40,73,copd,167
2022,8,74,copd,132
2019,17,12,copd,282
2019,43,10,asthma,24
2018,49,11,copd,212
2018,14,13,ihd,29
2021,49,74,asthma,6
2018,24,12,ihd,35
2019,9,10,ihd,112
2021,15,74,ihd,6
2018,42,13,copd,219
2020,53,13,ihd,13
2019,14,73,copd,278
2022,35,10,copd,263
2018,52,12,copd,304
2018,34,11,ihd,7
2021,25,73,ihd,19
2019,23,74,asthma,9
2021,43,74,copd,134
2022,44,11,asthma,41
2022,18,13,copd,129
2018,44,10,ihd,98
2022,10,11,ihd,68
2022,28,12,copd,92
2020,50,74,ihd,11
2019,33,73,asthma,43
2022,37,13,asthma,29
2021,35,12,ihd,6
2020,18,11,asthma,6
2020,9,10,copd,32
2022,3,13,ihd,29
2022,20,10,ihd,153
2022,47,12,asthma,47
2019,17,74,copd,138
2018,49,73,copd,270
2022,38,11,copd,240
2020,11,13,asthma,40
2021,45,11,ihd,46
2018,24,74,ihd,9
2022,48,10,copd,305
2020,28,10,asthma,31
2020,2,12,copd,226
2022,13,12,ihd,42
2019,9,12,ihd,17
2018,34,73,ihd,24
2018,52,74,copd,170
2020,21,12,asthma,38
2020,12,11,copd,195
2022,44,73,asthma,12
2019,27,13,copd,172
2019,44,10,copd,156
2021,38,13,ihd,7
2020,5,13,copd,154
2022,10,73,ihd,50
2019,46,13,asthma,47
2020,31,11,asthma,24
2018,2,10,asthma,13
2022,28,74,copd,51
2020,22,10,copd,520
2019,19,11,ihd,33
2021,48,12,ihd,21
2019,37,12,copd,214
2019,29,10,ihd,151
2019,12,13,ihd,27
2019,47,11,copd,179
2022,47,74,asthma,15
2022,38,73,copd,110
2021,35,74,ihd,1
2020,18,73,asthma,7
2018,44,12,ihd,30
2020,2,74,copd,131
2019,22,12,ihd,63
2021,45,73,ihd,23
2018,5,11,asthma,50
2022,13,74,ihd,7
2019,40,13,copd,24
2018,47,13,ihd,29
2019,9,74,ihd,4
2021,13,10,asthma,12
2020,12,73,copd,221
2020,21,74,asthma,9
2022,48,12,copd,51
2020,31,73,asthma,16
2022,40,10,ihd,193
2021,48,74,ihd,9
2019,37,74,copd,140
2019,19,73,ihd,126
2022,23,13,ihd,44
2021,6,12,asthma,20
2021,7,10,copd,473
2020,31,13,asthma,1
2022,51,13,copd,144
2021,16,11,asthma,59
2019,47,73,copd,225
2022,33,12,ihd,90
2018,44,74,ihd,2
2020,14,10,ihd,77
2020,32,11,copd,219
2020,41,12,asthma,5
2019,22,74,ihd,16
2022,43,11,ihd,84
2021,26,10,asthma,24
2018,5,73,asthma,34
2020,25,13,copd,154
2020,7,12,ihd,79
2018,5,13,asthma,25
2020,42,10,copd,549
2020,51,11,asthma,49
2022,48,74,copd,31
2020,17,11,ihd,28
2021,6,74,asthma,5
2020,44,13,asthma,40
2020,35,12,copd,235
2018,15,12,asthma,4
2019,49,10,ihd,125
2019,32,13,ihd,21
2018,6,11,copd,206
2021,16,73,asthma,5
2020,27,10,ihd,43
2022,33,74,ihd,11
2019,42,12,ihd,60
2018,16,10,copd,132
2018,25,11,asthma,41
2022,43,73,ihd,35
2018,9,12,copd,78
2019,52,11,ihd,55
2020,41,74,asthma,6
2020,32,73,copd,223
2018,18,13,asthma,3
2018,35,10,asthma,8
2022,1,11,asthma,29
2021,17,11,copd,12
2022,11,10,asthma,33
2020,7,74,ihd,12
2020,51,73,asthma,49
2021,26,12,asthma,7
2018,15,74,asthma,2
2020,35,74,copd,116
2018,6,73,copd,270
2021,27,10,copd,324
2021,36,11,asthma,4
2020,17,73,ihd,46
2022,4,12,asthma,22
2021,10,13,copd,135
2021,29,13,asthma,20
2019,42,74,ihd,11
2021,20,12,copd,229
2021,2,11,ihd,63
2021,46,10,asthma,40
2018,25,73,asthma,67
2022,5,10,copd,68
2021,30,11,copd,97
2020,27,12,ihd,42
2019,10,11,asthma,53
2019,52,73,ihd,41
2022,1,73,asthma,26
2020,45,13,copd,161
2018,9,74,copd,74
2019,1,10,copd,515
2021,12,10,ihd,134
2021,26,74,asthma,5
2019,20,10,asthma,21
2021,17,73,copd,12
2018,26,11,copd,3
2020,37,11,ihd,48
2019,3,13,asthma,49
2018,1,12,ihd,24
2018,19,13,copd,141
2018,36,10,copd,78
2021,36,73,asthma,6
2019,4,11,copd,252
2020,47,10,ihd,147
2019,13,12,asthma,13
2018,45,11,asthma,61
2020,30,13,ihd,41
2022,4,74,asthma,8
2021,20,74,copd,117
2018,29,12,copd,194
2020,40,12,ihd,50
2021,2,73,ihd,47
2018,11,11,ihd,37
2018,48,12,asthma,15
2021,39,74,asthma,4
2022,31,10,asthma,54
2020,27,74,ihd,5
2019,10,73,asthma,87
2022,5,12,copd,125
2018,4,13,ihd,35
2018,21,10,ihd,38
2022,14,13,asthma,21
2021,30,73,copd,47
2020,37,73,ihd,53
2022,24,12,asthma,35
2022,15,11,copd,135
2021,30,13,copd,2
2018,26,73,copd,7
2019,13,74,asthma,4
2021,49,13,asthma,18
2022,34,11,asthma,43
2021,40,12,copd,232
2022,8,13,copd,203
2022,25,10,copd,589
2018,1,74,ihd,14
2021,22,11,ihd,31
2020,5,10,asthma,1
2018,45,73,asthma,87
2019,4,73,copd,277
2020,40,74,ihd,3
2018,11,73,ihd,34
2021,15,13,ihd,23
2018,29,74,copd,113
2021,50,11,copd,204
2021,32,10,ihd,81
2022,44,10,asthma,9
2019,40,10,asthma,36
2019,14,12,copd,270
2020,8,11,asthma,66
2021,25,12,ihd,71
2018,48,74,asthma,11
2019,23,13,asthma,30
2021,43,13,copd,232
2022,5,74,copd,86
2021,35,11,ihd,4
2019,6,10,ihd,160
2019,33,12,asthma,9
2022,24,74,asthma,12
2022,15,73,copd,121
2019,24,11,copd,241
2020,18,10,asthma,22
2020,50,13,ihd,29
2021,40,74,copd,94
2021,22,73,ihd,10
2019,34,10,copd,700
2018,49,12,copd,235
2019,17,13,copd,286
2022,34,73,asthma,46
2019,43,11,asthma,45
2018,31,11,ihd,3
2021,50,73,copd,194
2018,24,13,ihd,24
2019,9,11,ihd,23
2018,41,10,ihd,143
2019,14,74,copd,142
2018,34,12,ihd,37
2021,25,74,ihd,10
2022,44,12,asthma,35
2022,17,10,ihd,10
2020,8,73,asthma,47
2022,35,11,copd,82
2018,52,13,copd,200
2018,44,11,ihd,23
2019,24,73,copd,292
2022,10,12,ihd,67
2022,28,13,copd,78
2021,35,73,ihd,14
2019,33,74,asthma,7
2022,45,10,copd,474
2018,31,73,ihd,37
2022,47,13,asthma,49
2022,20,11,ihd,66
2022,38,12,copd,177
2021,35,13,ihd,6
2018,49,74,copd,108
2020,9,11,copd,7
2020,18,12,asthma,12
2019,43,73,asthma,40
2021,3,10,asthma,36
2019,9,73,ihd,107
2022,13,13,ihd,11
2021,45,12,ihd,66
2022,48,11,copd,136
2020,19,10,copd,337
2020,28,11,asthma,19
2022,30,10,ihd,161
2020,2,13,copd,229
2018,34,74,ihd,5
2019,44,11,copd,56
2019,9,13,ihd,9
2022,35,73,copd,50
2021,53,10,asthma,1
2020,12,12,copd,248
2020,38,10,asthma,47
2020,21,13,asthma,18
2022,44,74,asthma,8
2018,2,11,asthma,60
2019,19,12,ihd,41
2018,44,73,ihd,42
2020,22,11,copd,220
2019,37,13,copd,167
2020,4,10,ihd,138
2022,10,74,ihd,13
2021,48,13,ihd,15
2020,31,12,asthma,18
2020,18,74,asthma,2
2020,9,73,copd,3
2019,47,12,copd,233
2018,44,13,ihd,7
2022,20,73,ihd,17
2019,29,11,ihd,33
2022,38,74,copd,87
2018,12,10,asthma,5
2021,45,74,ihd,15
2020,28,73,asthma,6
2018,5,12,asthma,6
2019,39,10,ihd,154
2022,48,73,copd,83
2019,22,13,ihd,25
2019,44,73,copd,72
2020,12,74,copd,122
2022,48,13,copd,50
2021,13,11,asthma,12
2020,22,73,copd,203
2019,19,74,ihd,9
2022,40,11,ihd,71
2020,31,74,asthma,13
2018,2,73,asthma,100
2021,23,10,asthma,20
2021,6,13,asthma,5
2022,33,13,ihd,44
2019,47,74,copd,122
2021,7,11,copd,228
2022,50,10,ihd,40
2019,29,73,ihd,32
2021,16,12,asthma,65
2022,43,12,ihd,70
2020,41,13,asthma,34
2018,5,74,asthma,2
2020,14,11,ihd,18
2020,32,12,copd,225
2021,17,10,copd,370
2021,26,11,asthma,29
2020,24,10,ihd,167
2021,13,73,asthma,2
2020,42,11,copd,173
2020,51,12,asthma,4
2018,22,11,asthma,11
2020,7,13,ihd,34
2018,13,10,copd,1
2022,40,73,ihd,31
2020,35,13,copd,221
2018,15,13,asthma,20
2020,17,12,ihd,64
2018,6,12,copd,182
2020,52,10,copd,626
2019,49,11,ihd,59
2018,32,10,asthma,8
2020,27,11,ihd,27
2019,42,13,ihd,35
2018,25,12,asthma,11
2021,7,73,copd,184
2018,16,11,copd,180
2021,16,74,asthma,11
2018,26,10,copd,131
2020,32,74,copd,134
2021,26,73,asthma,6
2020,14,73,ihd,29
2018,35,11,asthma,1
2019,52,12,ihd,55
2018,9,13,copd,114
2022,43,74,ihd,8
2022,1,12,asthma,33
2022,11,11,asthma,32
2020,42,73,copd,201
2020,51,74,asthma,10
2021,17,12,copd,12
2022,2,10,copd,525
2021,26,13,asthma,6
2018,22,73,asthma,20
2022,21,10,asthma,35
2021,27,11,copd,174
2021,9,10,ihd,134
2019,49,73,ihd,56
2020,17,74,ihd,13
2018,6,74,copd,127
2021,36,12,asthma,1
2022,4,13,asthma,24
2020,27,73,ihd,12
2022,52,10,copd,32
2022,5,11,copd,32
2021,37,10,copd,95
2021,46,11,asthma,30
2018,16,73,copd,140
2021,20,13,copd,167
2021,2,12,ihd,90
2018,25,74,asthma,34
2020,44,10,ihd,15
2019,1,11,copd,139
2020,27,13,ihd,23
2019,10,12,asthma,32
2019,52,74,ihd,14
2022,1,74,asthma,5
2021,12,11,ihd,71
2021,30,12,copd,88
2018,35,73,asthma,41
2022,11,73,asthma,40
2019,11,10,copd,779
2021,17,74,copd,6
2021,22,10,ihd,27
2018,35,13,asthma,2
2018,26,12,copd,9
2020,37,12,ihd,62
2019,20,11,asthma,55
2018,18,10,ihd,29
2018,1,13,ihd,16
2019,13,13,asthma,36
2019,30,10,asthma,40
2018,36,11,copd,2
2019,4,12,copd,322
2021,36,74,asthma,8
2018,45,12,asthma,17
2020,47,11,ihd,39
2021,27,73,copd,113
2021,2,74,ihd,8
2021,46,73,asthma,27
2018,46,10,copd,727
2018,11,12,ihd,51
2020,40,13,ihd,24
2022,5,73,copd,28
2018,29,13,copd,161
2022,5,13,copd,161
2018,48,13,asthma,51
2022,22,10,copd,270
2019,10,74,asthma,4
2021,30,74,copd,46
2021,12,73,ihd,44
2018,21,11,ihd,40
2022,31,11,asthma,45
2019,1,73,copd,135
2022,24,13,asthma,32
2022,41,10,asthma,39
2020,37,74,ihd,15
2022,15,12,copd,87
2018,26,74,copd,3
2018,31,10,ihd,14
2019,20,73,asthma,105
2022,7,10,ihd,194
2020,47,73,ihd,34
2020,5,11,asthma,2
2019,4,74,copd,147
2021,40,13,copd,180
2018,45,74,asthma,4
2018,36,73,copd,20
2022,34,12,asthma,33
2021,22,12,ihd,45
2022,25,11,copd,185
2021,50,12,copd,198
2021,32,11,ihd,35
2020,15,10,asthma,36
2018,11,74,ihd,17
2022,44,11,asthma,17
2022,35,10,copd,369
2022,31,73,asthma,93
2019,31,10,copd,246
2018,21,73,ihd,20
2019,14,13,copd,220
2020,8,12,asthma,48
2021,42,10,ihd,166
2021,25,13,ihd,34
2019,40,11,asthma,38
2019,33,13,asthma,34
2020,18,11,asthma,44
2022,15,74,copd,43
2021,35,12,ihd,24
2019,24,12,copd,284
2020,9,10,copd,485
2019,6,11,ihd,34
2019,50,10,asthma,29
2022,34,74,asthma,8
2018,31,12,ihd,31
2019,16,10,ihd,137
2019,43,12,asthma,13
2018,1,10,ihd,8
2020,5,73,asthma,1
2021,22,74,ihd,4
2022,25,73,copd,167
2019,34,11,copd,256
2018,49,13,copd,186
2019,44,10,copd,532
2019,9,12,ihd,25
2021,32,73,ihd,17
2022,44,73,asthma,47
2018,41,11,ihd,41
2021,50,74,copd,142
2018,51,10,ihd,130
2022,35,12,copd,72
2020,8,74,asthma,10
2018,34,13,ihd,27
2022,44,13,asthma,47
2019,40,73,asthma,26
2022,45,11,copd,250
2022,27,10,ihd,188
2018,44,12,ihd,38
2022,10,13,ihd,40
2019,24,74,copd,152
2019,6,73,ihd,162
2020,18,73,asthma,28
2021,35,74,ihd,3
2018,31,74,ihd,8
2020,9,12,copd,8
2021,3,11,asthma,43
2022,38,13,copd,184
2020,18,13,asthma,11
2019,34,73,copd,205
2019,43,74,asthma,2
2022,20,12,ihd,47
2021,45,13,ihd,35
2020,1,10,ihd,79
2019,9,74,ihd,15
2020,28,12,asthma,13
2022,30,11,ihd,53
2022,48,12,copd,131
2018,41,73,ihd,58
2021,13,10,asthma,9
2020,19,11,copd,164
2019,44,12,copd,42
2020,29,10,copd,584
2020,12,13,copd,181
2021,53,11,asthma,3
2020,38,11,asthma,80
2022,35,74,copd,59
2018,9,10,asthma,3
2022,17,73,ihd,3
