year,month,week,province,disease,cases
2018,1,2,91,ihd,19
2018,1,2,72,asthma,52
2018,1,2,11,ihd,38
2018,1,2,22,copd,386
2018,1,2,26,ihd,10
2018,1,2,37,copd,121
2018,1,2,92,ihd,54
2018,1,2,73,asthma,101
2018,1,2,12,ihd,37
2018,1,2,23,copd,162
2018,1,2,27,ihd,25
2018,1,2,38,copd,211
2018,1,2,93,ihd,39
2018,1,2,74,asthma,5
2018,1,2,13,ihd,38
2018,1,2,24,copd,263
2018,1,2,60,asthma,44
2018,1,2,90,copd,779
2018,1,2,10,copd,173
2018,1,2,39,copd,175
2018,1,2,94,ihd,55
2018,1,2,75,asthma,1
2018,1,2,14,ihd,43
2018,1,2,25,copd,231
2018,1,2,80,ihd,99
2018,1,2,61,asthma,6
2018,1,2,0,ihd,2
2018,1,2,91,copd,161
2018,1,2,11,copd,232
2018,1,2,95,ihd,38
2018,1,2,76,asthma,17
2018,1,2,15,ihd,16
2018,1,2,26,copd,96
2018,1,2,81,ihd,41
2018,1,2,62,asthma,29
2018,1,2,92,copd,427
2018,1,2,1,ihd,1
2018,1,2,12,copd,179
2018,1,2,96,ihd,23
2018,1,2,77,asthma,59
2018,1,2,16,ihd,51
2018,1,2,27,copd,264
2018,1,2,82,ihd,22
2018,1,2,63,asthma,9
2018,1,2,93,copd,323
2018,1,2,13,copd,171
2018,1,2,97,ihd,4
2018,1,2,17,ihd,10
2018,1,2,83,ihd,42
2018,1,2,64,asthma,21
2018,1,2,94,copd,484
2018,1,2,14,copd,273
2018,1,2,50,asthma,44
2018,1,2,80,copd,914
2018,1,2,18,ihd,12
2018,1,2,0,copd,11
2018,1,3,19,copd,207
2018,1,3,74,ihd,15
2018,1,3,55,asthma,15
2018,1,3,85,copd,88
2018,1,3,60,ihd,87
2018,1,3,41,asthma,20
2018,1,3,71,copd,381
2018,1,3,75,ihd,9
2018,1,3,56,asthma,22
2018,1,3,86,copd,247
2018,1,3,6,copd,2
2018,1,3,61,ihd,22
2018,1,3,42,asthma,10
2018,1,3,72,copd,303
2018,1,3,76,ihd,43
2018,1,3,57,asthma,18
2018,1,3,62,ihd,18
2018,1,3,43,asthma,9
2018,1,3,73,copd,268
2018,1,3,77,ihd,51
2018,1,3,58,asthma,14
2018,1,3,63,ihd,24
2018,1,3,44,asthma,25
2018,1,3,74,copd,150
2018,1,3,30,asthma,130
2018,1,3,60,copd,450
2018,1,3,64,ihd,22
2018,1,3,45,asthma,31
2018,1,3,75,copd,83
2018,1,3,50,ihd,92
2018,1,3,31,asthma,11
2018,1,3,61,copd,113
2018,1,3,65,ihd,28
2018,1,3,46,asthma,17
2018,1,3,76,copd,307
2018,1,3,NULL,asthma,452
2018,1,3,51,ihd,24
2018,1,3,32,asthma,14
2018,1,3,62,copd,282
2018,1,3,66,ihd,77
2018,1,3,47,asthma,34
2018,1,3,77,copd,292
2018,1,3,52,ihd,33
2018,1,3,33,asthma,54
2018,1,3,63,copd,217
2018,1,3,67,ihd,115
2018,1,3,48,asthma,12
2018,1,3,53,ihd,14
2018,1,3,34,asthma,120
2018,1,3,64,copd,256
2018,1,3,20,asthma,38
2018,1,3,49,asthma,14
2018,1,3,50,copd,1318
2018,1,3,54,ihd,17
2018,1,3,35,asthma,1
2018,1,3,65,copd,226
2018,1,3,40,ihd,101
2018,1,3,21,asthma,21
2018,1,3,51,copd,435
2018,1,3,55,ihd,47
2018,1,3,36,asthma,11
2018,1,3,66,copd,376
2018,1,3,41,ihd,33
2018,1,3,22,asthma,39
2018,1,3,52,copd,582
2018,1,3,56,ihd,23
2018,1,3,37,asthma,5
2018,1,3,67,copd,527
2018,1,3,42,ihd,15
2018,1,3,23,asthma,19
2018,1,3,53,copd,121
2018,1,3,57,ihd,40
2018,1,3,38,asthma,1
2018,1,3,43,ihd,20
2018,1,3,24,asthma,22
2018,1,3,54,copd,219
2018,1,3,90,asthma,27
2018,1,3,10,asthma,6
2018,1,3,58,ihd,8
2018,1,3,39,asthma,7
2018,1,3,40,copd,755
2018,1,3,44,ihd,66
2018,1,3,25,asthma,9
2018,1,3,55,copd,583
2018,1,3,91,asthma,4
2018,1,3,30,ihd,153
2018,1,3,11,asthma,74
2018,1,3,41,copd,494
2018,1,3,45,ihd,67
2018,1,3,26,asthma,8
2018,1,3,56,copd,418
2018,1,3,92,asthma,13
2018,1,3,31,ihd,64
2018,1,3,12,asthma,11
2018,1,3,42,copd,222
2018,1,3,46,ihd,60
2018,1,3,27,asthma,13
2018,1,3,57,copd,921
2018,1,3,NULL,ihd,868
2018,1,3,93,asthma,39
2018,1,3,32,ihd,33
2018,1,3,13,asthma,47
2018,1,3,43,copd,167
2018,1,3,47,ihd,32
2018,1,3,58,copd,147
2018,1,3,94,asthma,20
2018,1,3,33,ihd,64
2018,1,3,14,asthma,8
2018,1,3,44,copd,630
2018,1,3,80,asthma,30
2018,1,3,0,asthma,1
2018,1,3,48,ihd,25
2018,1,3,30,copd,1368
2018,1,3,95,asthma,15
2018,1,3,34,ihd,66
2018,1,3,15,asthma,5
2018,1,3,45,copd,531
2018,1,3,81,asthma,5
2018,1,3,20,ihd,100
2018,1,3,1,asthma,1
2018,1,3,49,ihd,5
2018,1,3,31,copd,707
2018,1,3,96,asthma,3
2018,1,3,35,ihd,14
2018,1,3,16,asthma,58
2018,1,3,46,copd,411
2018,1,3,82,asthma,1
2018,1,3,NULL,copd,4970
2018,1,3,21,ihd,53
2018,1,3,1,asthma,1
2018,1,3,32,copd,268
2018,1,3,97,asthma,1
2018,1,3,36,ihd,71
2018,1,3,17,asthma,6
2018,1,3,47,copd,284
2018,1,3,22,ihd,38
2018,1,3,33,copd,608
2018,1,3,37,ihd,17
2018,1,3,18,asthma,33
2018,1,3,48,copd,171
2018,1,3,84,asthma,24
2018,1,3,23,ihd,45
2018,1,3,34,copd,541
2018,1,3,70,asthma,15
2018,1,3,99,asthma,43
2018,1,3,38,ihd,16
2018,1,3,19,asthma,7
2018,1,3,20,copd,331
2018,1,3,49,copd,96
2018,1,3,85,asthma,6
2018,1,3,24,ihd,54
2018,1,3,35,copd,163
2018,1,3,90,ihd,110
2018,1,3,71,asthma,11
2018,1,3,10,ihd,50
2018,1,3,39,ihd,18
2018,1,3,21,copd,207
2018,1,3,86,asthma,5
2018,1,3,25,ihd,31
2018,1,3,36,copd,442
2018,1,3,91,ihd,13
2018,1,3,72,asthma,29
2018,1,3,11,ihd,38
2018,1,3,22,copd,472
2018,1,3,26,ihd,12
2018,1,3,37,copd,94
2018,1,3,92,ihd,55
2018,1,3,73,asthma,96
2018,1,3,12,ihd,42
2018,1,3,23,copd,155
2018,1,3,27,ihd,35
2018,1,3,38,copd,236
2018,1,3,93,ihd,21
2018,1,3,74,asthma,2
2018,1,3,13,ihd,28
2018,1,3,LA,ihd,1
2018,1,3,24,copd,361
2018,1,3,60,asthma,61
2018,1,3,90,copd,843
2018,1,3,10,copd,166
2018,1,3,39,copd,167
2018,1,3,94,ihd,47
2018,1,3,14,ihd,57
2018,1,3,25,copd,133
2018,1,3,80,ihd,110
2018,1,3,61,asthma,7
2018,1,3,91,copd,174
2018,1,3,11,copd,196
2018,1,3,95,ihd,42
2018,1,3,76,asthma,26
2018,1,3,15,ihd,29
2018,1,3,26,copd,100
2018,1,3,81,ihd,45
2018,1,3,62,asthma,26
2018,1,3,92,copd,305
2018,1,3,1,ihd,1
2018,1,3,12,copd,151
2018,1,3,96,ihd,34
2018,1,3,77,asthma,32
2018,1,3,16,ihd,54
2018,1,3,27,copd,328
2018,1,3,82,ihd,25
2018,1,3,63,asthma,9
2018,1,3,93,copd,327
2018,1,3,13,copd,191
2018,1,3,97,ihd,3
2018,1,3,17,ihd,13
2018,1,3,83,ihd,40
2018,1,3,64,asthma,15
2018,1,3,3,ihd,3
2018,1,3,94,copd,437
2018,1,3,14,copd,237
2018,1,3,50,asthma,37
2018,1,3,80,copd,948
2018,1,3,18,ihd,10
2018,1,3,0,copd,7
2018,1,3,84,ihd,100
2018,1,3,65,asthma,57
2018,1,3,4,ihd,1
2018,1,3,95,copd,287
2018,1,3,15,copd,146
2018,1,3,70,ihd,53
2018,1,3,51,asthma,11
2018,1,3,99,ihd,74
2018,1,3,81,copd,274
2018,1,3,19,ihd,35
2018,1,3,85,ihd,13
2018,1,3,66,asthma,5
2018,1,3,96,copd,95
2018,1,3,16,copd,308
2018,1,3,71,ihd,28
2018,1,3,52,asthma,37
2018,1,3,82,copd,184
2018,1,3,2,copd,1
2018,1,3,86,ihd,42
2018,1,3,67,asthma,20
2018,1,3,97,copd,21
2018,1,3,17,copd,117
2018,1,3,72,ihd,45
2018,1,3,53,asthma,5
2018,1,3,83,copd,125
2018,1,3,3,copd,1
2018,1,3,98,copd,1
2018,1,3,18,copd,194
2018,1,3,73,ihd,192
2018,1,3,54,asthma,5
2018,1,3,84,copd,715
2018,1,3,4,copd,2
2018,1,3,40,asthma,39
2018,1,3,70,copd,421
2018,1,3,99,copd,544
2018,1,4,64,ihd,27
2018,1,4,45,asthma,46
2018,1,4,75,copd,54
2018,1,4,50,ihd,70
2018,1,4,31,asthma,22
2018,1,4,61,copd,289
2018,1,4,65,ihd,27
2018,1,4,46,asthma,8
2018,1,4,76,copd,208
2018,1,4,NULL,asthma,491
2018,1,4,51,ihd,40
2018,1,4,32,asthma,27
2018,1,4,62,copd,420
2018,1,4,66,ihd,72
2018,1,4,47,asthma,12
2018,1,4,77,copd,222
2018,1,4,52,ihd,28
2018,1,4,33,asthma,97
2018,1,4,63,copd,276
2018,1,4,67,ihd,92
2018,1,4,48,asthma,10
2018,1,4,53,ihd,8
2018,1,4,34,asthma,131
2018,1,4,64,copd,330
2018,1,4,20,asthma,24
2018,1,4,49,asthma,17
2018,1,4,50,copd,1260
2018,1,4,54,ihd,14
2018,1,4,35,asthma,4
2018,1,4,65,copd,288
2018,1,4,40,ihd,104
2018,1,4,21,asthma,14
2018,1,4,51,copd,379
2018,1,4,55,ihd,36
2018,1,4,36,asthma,16
2018,1,4,66,copd,371
2018,1,4,41,ihd,63
